AppID,Message
Droid48,undo-button added
Droid48,fixed initial app state
Droid48,changed shift buttons appearance
Droid48,upgraded scaling
Droid48,added patch
Droid48,added error beep
Droid48,fixed calculator
Droid48,updated 2319
Droid48,patch upgrade
Droid48,software versioned
Droid48,fixed battery usage
Clip Stack,notification display fixed
Clip Stack,fix floating bubble
Clip Stack,updated cloud back up patch
Clip Stack,fixed test issue
Clip Stack,patch upgraded
Movian Remote,fixed upgrade 
Movian Remote,fixed to save ip address
Movian Remote,software upgrade issues fixed
Countdown for DashClock,added total 5 count down timers
Countdown for DashClock,fixed compatibility to prev version
Countdown for DashClock,reverted to prev patch
Countdown for DashClock,fixed svn id: 1589
Olam,fixed info icon
Olam,added history tab
Olam,upgraded to work as sd card app
Olam,updated words dictionary
Olam,fixed issue id:1412
Kiwix,Fixing new version
Kiwix,fixed memory issue
Kiwix,added patch
OI File Manager,added move file option
OI File Manager,fixed file copy
OI File Manager,aded cut paste options
OI File Manager,made adding photo generic
OI File Manager,upgraded version
T-UI,updated widget
T-UI,fixed for swift key iclusion
T-UI,minor ui fixes
T-UI,fixed issues under id - 1590
